ticket_id,title,owner_id,assignee_id,status,classification,project_id,created_at,type
T047,Performance regression in /search endpoint p99,E028,E028,in_progress,2,P001,2026-03-26,engineering
T048,Feature: bulk export for Atlas Mobile,E034,E028,open,2,P007,2026-04-08,engineering
T049,Tech debt: deprecate legacy auth shim,E029,E029,in_progress,2,P004,2026-03-30,engineering
T050,Chaos game day prep - Phoenix 2.0 cutover,E011,E031,in_progress,2,P004,2026-04-05,engineering
T051,Customer-reported bug: timezone offset on reports,E034,E030,resolved,2,P015,2026-02-22,engineering
T052,Refactor Voyager ingest to use new SDK,E029,E030,in_progress,2,P015,2026-03-12,engineering
T053,Add audit log streaming to S3,E018,E029,in_progress,2,P002,2026-03-09,engineering
T054,Migrate Phoenix services off deprecated metrics lib,E031,E031,resolved,2,P003,2025-11-18,engineering
T055,Investigate flaky integration tests,E028,E028,in_progress,2,P001,2026-03-15,engineering
T056,Helix HRIS data migration scripts,E018,E029,in_progress,3,P006,2026-02-26,engineering
T057,Fortress runbook automation - paging rules,E033,E029,in_progress,3,P010,2026-03-22,engineering
T058,Beacon CRM webhook delivery failures,E039,E028,open,2,P009,2026-04-04,engineering
T059,Customer data platform schema review,E020,E029,resolved,3,P015,2026-02-15,engineering
T060,Compass dashboard load time regression,E021,E028,in_progress,2,P008,2026-03-28,engineering
T061,Feature: configurable rate limits per tenant,E003,E003,open,2,P004,2026-04-09,engineering
T062,API gateway upgrade compatibility audit,E018,E018,in_progress,2,P001,2026-03-20,engineering
T063,Database connection pool tuning,E031,E031,resolved,2,P001,2026-02-12,engineering
T064,Log retention policy implementation,E033,E029,in_progress,3,P002,2026-03-25,engineering
T065,Vendor MSA review - Acme Analytics,E021,E009,in_progress,3,P016,2026-03-22,legal
T066,NDA template update for partner program,E020,E042,resolved,2,,2026-02-08,legal
T067,Customer data processing addendum review,E022,E042,in_progress,3,P008,2026-03-15,legal
T068,DPA negotiation - EU customer requirement,E022,E009,in_progress,3,,2026-03-28,legal
T069,Open source license review - Voyager dependencies,E029,E043,resolved,2,P015,2026-02-19,legal
T070,Trademark filing for Aurora,E013,E042,in_progress,3,P005,2026-03-04,legal
T071,Subpoena response coordination,E006,E009,in_progress,4,,2026-03-30,legal
T072,Contractor agreement template revision,E026,E043,resolved,2,,2026-02-26,legal
T073,Q1 expense report rejection - missing receipts,E028,E041,resolved,2,,2026-02-15,finance
T074,Vendor onboarding - Acme Analytics,E021,E041,in_progress,3,P016,2026-03-22,finance
T075,Budget reforecast - Engineering Q2,E001,E024,in_progress,3,,2026-03-25,finance
T076,Travel pre-approval workflow change request,E022,E041,resolved,2,,2026-02-28,finance
T077,Corporate card limit increase request,E021,E024,resolved,2,,2026-03-08,finance
T078,Wire transfer authorization - vendor payout,E007,E024,closed,3,,2026-02-19,finance
T079,Audit prep - revenue recognition Q1,E024,E010,in_progress,3,P012,2026-03-15,finance
T080,Procurement: Atlas Mobile pen test,E020,E041,in_progress,3,P007,2026-04-03,finance
T081,Reimbursement appeal - personal device on travel,E028,E041,resolved,2,,2026-03-12,finance
T082,Amortization schedule revision,E024,E010,in_progress,3,,2026-03-29,finance
